,word,pos,entropy
1287,go_to,v,0.9003418708227195
2186,product,n,0.8989377852081333
2673,step,n,0.8986533756907481
725,cost,v,0.8974271930876951
1285,go_out,v,0.8960382325345574
1935,offer,v,0.8950051289257759
619,common,a,0.8944518845341284
1890,nod,v,0.8926230133850988
1547,job,n,0.8913309584070231
2895,tradition,n,0.8904916402194913
2305,regard,v,0.8904916402194913
1180,floor,n,0.8904916402194913
1874,newspaper,n,0.8904916402194913
394,believe,v,0.8893751863481874
1092,fact,n,0.8856128713989709
2650,staining,n,0.8849636363831529
2850,though,r,0.8849636363831529
700,contrast,n,0.8849636363831529
884,do,v,0.8833573858997578
2756,suppose,v,0.8829589691462253
2152,pressure,n,0.8800270477157601
1859,need,n,0.8800270477157601
1729,material,n,0.8791357668533337
558,claim,n,0.8779620013943912
1365,help,v,0.877311937374348
1149,film,n,0.876716288999464
814,derive,v,0.8739810481273579
2671,stem,n,0.8739810481273579
2192,program,n,0.8729882944709463
1513,intensity,n,0.8721617883411699
2773,swing,v,0.8721617883411699
2182,process,n,0.8721617883411699
470,business,n,0.8716836171199819
559,claim,v,0.8708644692353646
544,child,n,0.870346054692958
536,check,v,0.8680403986166402
204,air,n,0.8667256130949591
239,another,s,0.8663006754980497
1037,evidence,n,0.8605553930586319
2304,refuse,v,0.8599530497177523
1973,organization,n,0.8582307926411411
2280,reason,n,0.8538738465459897
1100,fall,v,0.8524051786494786
1723,marriage,n,0.8524051786494786
737,create,v,0.8518455800500334
2128,power,n,0.8514808683852091
2619,sound,v,0.8478617451660525
2403,role,n,0.8453509366224364
1463,increase,n,0.8453509366224364
2636,spend,v,0.8453509366224364
2180,procedure,n,0.8453509366224364
200,agree,v,0.8439491244805034
1151,finally,r,0.8435070855739036
2229,purpose,n,0.8426578772022391
1962,operator,n,0.8418521897563208
912,drink,v,0.8418521897563208
2437,save,v,0.8383729377099397
1715,manner,n,0.8366407419411673
508,cause,v,0.8352767572972767
169,actually,r,0.8346482851813829
2198,promise,v,0.8296071030882032
592,collect,v,0.8296071030882032
1543,issue,v,0.828055725379504
3112,yard,n,0.828055725379504
1372,high,a,0.82657581460261
2457,season,n,0.8256265261578954
966,eliminate,v,0.8256265261578954
3004,view,n,0.8256265261578954
1848,national,a,0.8238116333123173
1686,low,a,0.821812730503485
1248,further,r,0.8203636429576731
1061,expect,v,0.8164985919509031
1811,most,r,0.8162554088088008
1809,most,a,0.8112781244591328
2232,push,v,0.8112781244591328
2302,reflect,v,0.8112781244591328
2222,publish,v,0.8030909760146977
1819,mouth,n,0.8014698931335288
3021,vote,v,0.8014698931335288
1206,forget,v,0.799759411329176
1337,handle,v,0.7962699368824384
493,care,v,0.7958812735955936
2836,theory,n,0.7918583525674836
3066,white,a,0.7855602922535473
1034,every,s,0.7849920887641583
2936,turn_out,v,0.7824441294066888
95,New_York,n,0.7817281222714539
1125,feed,v,0.7771529943226336
930,early,a,0.7765557854444601
1768,military,a,0.7765557854444601
2559,situation,n,0.776116265618875
854,direct,v,0.7746319868686843
970,emerge,v,0.7732266742876345
689,contain,v,0.7710216226351874
1476,individual,n,0.7706290693639406
1317,ground,n,0.7682814090975241
1261,generally,r,0.7682814090975241
289,art,n,0.7671903206448684
2953,understand,v,0.7642045065086203
998,enter,v,0.7582971529373276
2393,right,n,0.7568336324184034
2565,skill,n,0.7553754125614287
2509,shake,v,0.7540340561971326
2753,supply,v,0.74959525725948
964,element,n,0.7467366074830679
1621,length,n,0.7467366074830679
639,completely,r,0.7467366074830679
1960,operate,v,0.7462343013654811
1479,industry,n,0.7438987452884342
605,come_in,v,0.7424875695421236
407,better,a,0.7401470427139037
2269,reaction,n,0.7382848661434506
3015,visit,v,0.7382848661434506
898,down,r,0.7367680100024784
1408,however,r,0.7323598883679042
3043,way,n,0.7285209480926162
1404,hour,n,0.7219280948873623
1045,example,n,0.7153220528038851
2102,political,a,0.7147274731317893
1851,nature,n,0.7140152804378671
1548,join,v,0.7131467486384921
2681,stop,v,0.7124534449668779
258,appear,v,0.7111203793829537
845,difference,n,0.7070040649747601
2275,real,a,0.7024665512903904
2179,problem,n,0.7013545780761166
1741,means,n,0.7007495497162063
1159,finish,v,0.6962122601251458
2556,sit,v,0.6946165926490012
2214,provide,v,0.6845484464298167
627,company,n,0.6840384356390417
1143,figure,n,0.6812908868842175
1208,form,n,0.6812908868842175
190,affect,v,0.6807937753703207
1128,feeling,n,0.6795851972782938
1284,go_on,v,0.6795851972782938
2794,talk,v,0.6743988870714471
629,compare,v,0.672294817075638
430,book,n,0.6699960320994333
1739,mean,v,0.6669738946843727
983,encourage,v,0.6619760641115653
938,eat,v,0.6609623351442084
2662,state,v,0.6587435307694673
3048,wear,v,0.6577047787442195
1923,observe,v,0.6559420757694149
1067,experiment,n,0.6554444445609847
1834,music,n,0.6500224216483541
2347,report,n,0.6500224216483541
1146,file,v,0.6500224216483541
2851,thought,n,0.6442142137378306
179,admit,v,0.6442142137378306
2077,plan,n,0.6373874992221911
1795,money,n,0.6278191534832795
1447,improve,v,0.6193821946787638
236,announce,v,0.617151919200282
1089,face,n,0.6152538910563409
3095,word,n,0.6098403047164005
2974,use,n,0.6086696755779567
660,condition,n,0.6051865766334205
2713,study,n,0.5983474220910422
2478,sell,v,0.5916727785823274
1623,less,r,0.5822463050121238
215,allow,v,0.5795353469249724
1925,obtain,v,0.5718989326097251
164,action,n,0.560576942614533
1350,head,n,0.5600443203590992
2025,pass,v,0.5406572280363557
2473,seem,v,0.5326872539936106
1680,lose,v,0.5302247498526307
2385,return,v,0.52764232609436
1826,much,r,0.5179618709530011
1775,mind,n,0.5179618709530011
1637,like,v,0.5137834295634157
953,effort,n,0.5107878229540133
438,boy,n,0.5091821114436996
555,city,n,0.5061252137852815
1910,now,r,0.4649225295584328
2676,still,r,0.4373127600334949
2445,school,n,0.4283781735341417
2461,second,s,0.4211660145082221
2076,place,v,0.4138168503036338
462,build,v,0.41164557093214915
2407,room,n,0.40907313904382653
1802,more,r,0.40327365195417136
2930,turn,v,0.34438910560526487
1625,let,v,0.3329913124162684
1295,good,a,0.3269693312473513
3000,very,r,0.26594279712591673
2730,such,s,0.20931241280367255
1029,even,r,0.20717693441454327
3029,want,v,0.20102639201641434
3113,year,n,0.19841638584223387
2975,use,v,0.14014358659363782
